date,name,close
2026-02-03,居家生活類指數,111.03
2026-02-03,建材營造類指數,463.56
2026-02-03,數位雲端類指數,38.72
2026-02-03,未含金融指數,28725.7
2026-02-03,未含金融電子指數,14109.01
2026-02-03,未含電子指數,19948.0
2026-02-03,機電類指數,10936.02
2026-02-03,橡膠類指數,183.69
2026-02-03,水泥窯製類指數,602.69
2026-02-03,水泥類指數,126.11
2026-02-03,汽車類指數,313.22
2026-02-03,油電燃氣類指數,68.92
2026-02-03,玻璃陶瓷類指數,116.67
2026-02-03,生技醫療類指數,91.42
2026-02-03,發行量加權股價指數,32195.36
2026-02-03,紡織纖維類指數,516.59
2026-02-03,綠能環保類指數,108.23
2026-02-03,臺指反向一倍指數,1886.08
2026-02-03,臺指日報酬兩倍指數,115033.33
2026-02-03,臺灣50指數,29281.51
2026-02-03,臺灣50權重上限30%指數,22989.25
2026-02-03,臺灣中型100指數,26774.33
2026-02-03,臺灣公司治理100指數,20032.16
2026-02-03,臺灣就業99指數,18684.93
2026-02-03,臺灣發達指數,13232.16
2026-02-03,臺灣資訊科技指數,61193.93
2026-02-03,臺灣高股息指數,10385.55
2026-02-03,臺灣高薪100指數,15205.76
2026-02-03,航運類指數,179.46
2026-02-03,觀光餐旅類指數,104.65
2026-02-03,貿易百貨類指數,228.27
2026-02-03,資訊服務類指數,201.29
2026-02-03,通信網路類指數,192.41
2026-02-03,造紙類指數,243.98
2026-02-03,運動休閒類指數,68.29
2026-02-03,金融保險類指數,2403.42
2026-02-03,鋼鐵類指數,122.93
2026-02-03,電器電纜類指數,109.32
2026-02-03,電子工業類指數,1975.83
2026-02-03,電子通路類指數,263.28
2026-02-03,電子零組件類指數,493.77
2026-02-03,電子類兩倍槓桿指數,179867.93
2026-02-03,電子類反向指數,1219.44
2026-02-03,電機機械類指數,486.14
2026-02-03,電腦及週邊設備類指數,298.18
2026-02-03,食品類指數,1947.12
2026-02-04,光電類指數,41.31
2026-02-04,其他電子類指數,216.75
2026-02-04,其他類指數,268.02
2026-02-04,化學生技醫療類指數,154.72
2026-02-04,化學類指數,163.99
2026-02-04,半導體類指數,1070.05
2026-02-04,塑膠化工類指數,755.06
2026-02-04,塑膠類指數,178.14
2026-02-04,寶島股價指數,35999.5
2026-02-04,小型股300指數,11691.72
2026-02-04,居家生活類指數,111.87
2026-02-04,建材營造類指數,467.27
2026-02-04,數位雲端類指數,38.73
2026-02-04,未含金融指數,28795.63
2026-02-04,未含金融電子指數,14313.83
2026-02-04,未含電子指數,20189.77
2026-02-04,機電類指數,10945.98
2026-02-04,橡膠類指數,185.83
2026-02-04,水泥窯製類指數,619.83
2026-02-04,水泥類指數,127.53
2026-02-04,汽車類指數,313.65
2026-02-04,油電燃氣類指數,70.24
2026-02-04,玻璃陶瓷類指數,124.61
2026-02-04,生技醫療類指數,91.18
2026-02-04,發行量加權股價指數,32289.81
2026-02-04,紡織纖維類指數,518.32
2026-02-04,綠能環保類指數,109.45
2026-02-04,臺指反向一倍指數,1880.55
2026-02-04,臺指日報酬兩倍指數,115708.27
2026-02-04,臺灣50指數,29209.36
2026-02-04,臺灣50權重上限30%指數,23051.38
2026-02-04,臺灣中型100指數,27228.82
2026-02-04,臺灣公司治理100指數,19990.55
2026-02-04,臺灣就業99指數,18943.21
2026-02-04,臺灣發達指數,13315.49
2026-02-04,臺灣資訊科技指數,61065.06
2026-02-04,臺灣高股息指數,10460.99
2026-02-04,臺灣高薪100指數,15358.0
2026-02-04,航運類指數,182.16
2026-02-04,觀光餐旅類指數,104.94
2026-02-04,貿易百貨類指數,229.31
2026-02-04,資訊服務類指數,200.98
2026-02-04,通信網路類指數,192.8
2026-02-04,造紙類指數,247.45
2026-02-04,運動休閒類指數,68.65
2026-02-04,金融保險類指數,2423.45
2026-02-04,鋼鐵類指數,124.5
