date,name,close
2025-02-20,TPEx FactSet半導體氣候韌性指數,7439.96
2025-02-20,TPEx FactSet氣候韌性指數,7197.79
2025-02-20,上櫃ESG 30指數,6727.88
2025-02-20,光電業,83.29
2025-02-20,其他,174.34
2025-02-20,其他電子業,277.62
2025-02-20,勞工就業88指數,198.44
2025-02-20,化學工業,161.26
2025-02-20,半導體業,118.53
2025-02-20,富櫃200指數,10270.29
2025-02-20,富櫃50指數,292.62
2025-02-20,居家生活,91.28
2025-02-20,建材營造,281.81
2025-02-20,數位雲端,110.54
2025-02-20,文化創意業,299.65
2025-02-20,櫃買公司治理指數,210.36
2025-02-20,櫃買指數,261.64
2025-02-20,櫃買薪酬指數,143.73
2025-02-20,生技醫療,174.58
2025-02-20,紡織纖維,132.31
2025-02-20,綠能環保,105.28
2025-02-20,臺灣上櫃永續指數,7671.22
2025-02-20,航運業,187.0
2025-02-20,觀光餐旅,92.11
2025-02-20,資訊服務業,228.2
2025-02-20,通信網路業,166.55
2025-02-20,鋼鐵工業,178.58
2025-02-20,電子工業,426.11
2025-02-20,電子通路業,123.81
2025-02-20,電子零組件業,131.5
2025-02-20,電機機械,216.09
2025-02-20,電腦及週邊設備業,137.45
2025-02-20,高殖利率指數,221.55
2025-02-21,Quality 50指數,10031.36
2025-02-21,TPEx FactSet半導體氣候韌性指數,7500.43
2025-02-21,TPEx FactSet氣候韌性指數,7247.31
2025-02-21,上櫃ESG 30指數,6789.79
2025-02-21,光電業,83.61
2025-02-21,其他,175.44
2025-02-21,其他電子業,277.08
2025-02-21,勞工就業88指數,200.46
2025-02-21,化學工業,159.49
2025-02-21,半導體業,119.72
2025-02-21,富櫃200指數,10339.07
2025-02-21,富櫃50指數,294.75
2025-02-21,居家生活,91.67
2025-02-21,建材營造,287.37
2025-02-21,數位雲端,110.64
2025-02-21,文化創意業,300.97
2025-02-21,櫃買公司治理指數,212.61
2025-02-21,櫃買指數,263.43
2025-02-21,櫃買薪酬指數,144.89
2025-02-21,生技醫療,175.97
2025-02-21,紡織纖維,132.84
2025-02-21,綠能環保,105.78
2025-02-21,臺灣上櫃永續指數,7751.47
2025-02-21,航運業,187.26
2025-02-21,觀光餐旅,92.43
2025-02-21,資訊服務業,226.64
2025-02-21,通信網路業,168.23
2025-02-21,鋼鐵工業,178.49
2025-02-21,電子工業,429.11
2025-02-21,電子通路業,123.23
2025-02-21,電子零組件業,132.11
2025-02-21,電機機械,219.41
2025-02-21,電腦及週邊設備業,139.15
2025-02-21,高殖利率指數,224.33
2025-02-24,Quality 50指數,10014.09
2025-02-24,TPEx FactSet半導體氣候韌性指數,7454.19
2025-02-24,TPEx FactSet氣候韌性指數,7254.71
2025-02-24,上櫃ESG 30指數,6766.56
2025-02-24,光電業,82.91
2025-02-24,其他,175.44
2025-02-24,其他電子業,277.07
2025-02-24,勞工就業88指數,201.12
2025-02-24,化學工業,160.83
2025-02-24,半導體業,119.41
2025-02-24,富櫃200指數,10351.78
2025-02-24,富櫃50指數,294.46
2025-02-24,居家生活,91.89
2025-02-24,建材營造,291.74
2025-02-24,數位雲端,110.06
